,Student_id,Best_LP,Best_AS,LP_Time,Alg_time,Num_KP_Explored,Num_total_KP,LO_deleted_time_violations,LO_deleted_redundancy,Kps_no_solution
0,0,"[18, 59, 24, 44, 23, 4, 26, 34, 48, 49, 37, 9, 56, 12, 41, 0, 61, 30, 53, 20]",37.6,9801,1.95503234863281E-05,1,36382,8,24,0
1,1,"[19, 61, 26, 46, 24, 3, 30, 35, 50, 51, 39, 9, 58, 12, 43, 0, 62, 31, 55, 21]",44.5,10645,1.88350677490234E-05,1,31228,8,23,0
2,2,"[16, 21, 20, 29, 40, 43, 31, 8, 47, 35, 0, 51]",22.4,3841,0.0147359371185303,5022,37641,27,14,22383
3,3,"[18, 63, 49, 24, 3, 28, 39, 53, 56, 42, 8, 60, 11, 46, 0, 64, 33, 57, 20]",41,8617,0.000138759613037109,19,36902,1,27,0
4,4,"[18, 59, 24, 44, 22, 3, 26, 34, 37, 8, 56, 41, 0, 60, 53]",30.2,5815,0.00910401344299316,2646,9731,8,25,16
5,5,"[13, 20, 5, 28, 36, 53, 55, 40, 8, 62, 10, 47, 3, 68, 57, 18]",22.5,11834,0.0057065486907959,1563,29340,0,25,0
6,6,"[19, 64, 27, 50, 25, 3, 29, 40, 54, 56, 43, 9, 61, 12, 47, 0, 67, 34, 58, 21]",47.1,8875,6.29425048828125E-05,1,35598,1,25,0
7,7,"[19, 65, 50, 25, 3, 29, 40, 54, 43, 9, 62, 12, 47, 0, 68, 34, 59, 21]",41.4,8378,0.000625371932983398,127,30744,1,23,0
8,8,"[19, 64, 26, 49, 24, 4, 28, 39, 54, 42, 9, 61, 12, 46, 0, 67, 33, 58, 21]",42,8985,0.000091552734375,6,19325,1,24,0
9,9,"[18, 63, 25, 48, 23, 3, 27, 38, 52, 53, 41, 8, 60, 12, 45, 0, 66, 32, 57, 20]",43.9,9610,0.000125408172607422,1,44899,1,26,0
10,10,"[16, 73, 31, 59, 28, 6, 39, 45, 65, 67, 50, 8, 70, 12, 57, 0, 78, 42, 69, 26]",26.2,22631,8.58306884765625E-05,1,54272,1,14,0
11,11,"[14, 7, 32, 0, 46, 15]",16.4,1857,3.83853912353516E-05,2,36073,27,19,36018
