,Student_id,Best_LP,Best_AS,LP_Time,Alg_time,Num_KP_Explored,Num_total_KP
0,0,"[18, 59, 24, 44, 23, 4, 26, 34, 48, 49, 37, 9, 56, 12, 41, 0, 61, 30, 53, 20]",37.6,9801.0,0.3100736141204834,1,100
1,1,"[19, 61, 26, 46, 24, 3, 30, 35, 50, 51, 39, 9, 58, 12, 43, 0, 62, 31, 55, 21]",44.5,10645.0,0.16742420196533203,0,100
2,2,"[15, 50, 21, 38, 29, 40, 42, 8, 47, 35, 0, 51, 46]",24.1,3948.0,3.981031656265259,2132,100
3,3,"[15, 63, 26, 49, 24, 3, 27, 39, 52, 56, 42, 8, 60, 11, 46, 1, 64, 33, 57, 20]",43.5,11917.0,0.3510613441467285,1,100
4,4,"[18, 59, 24, 44, 45, 3, 26, 34, 50, 37, 8, 56, 14, 41, 0, 60, 30, 55]",34.6,5981.0,6.621865510940552,262,100
5,5,"[13, 64, 24, 50, 20, 5, 28, 36, 53, 55, 38, 8, 62, 10, 47, 3, 68, 33, 59, 18]",25.3,11953.0,7.746661901473999,45,100
6,6,"[19, 64, 27, 50, 25, 3, 29, 40, 54, 56, 43, 9, 61, 12, 47, 0, 67, 34, 58, 21]",47.1,8875.0,0.20129013061523438,1,100
7,7,"[18, 65, 27, 50, 25, 3, 29, 40, 54, 57, 43, 9, 62, 12, 47, 0, 68, 34, 59, 21]",46.1,8937.0,4.5389933586120605,1,100
8,8,"[20, 64, 26, 49, 24, 23, 28, 39, 53, 56, 42, 9, 61, 12, 46, 0, 67, 33, 58, 21]",43.1,8969.0,3.3833000659942627,1,100
9,9,"[18, 63, 25, 48, 23, 3, 27, 38, 52, 53, 41, 8, 60, 12, 45, 0, 66, 32, 57, 20]",43.9,9610.0,0.28020238876342773,1,100
10,10,"[16, 73, 31, 59, 28, 6, 39, 45, 65, 67, 50, 8, 70, 12, 57, 0, 78, 42, 69, 26]",26.2,22631.0,0.30510878562927246,0,100
11,11,"[13, 7, 32, 0, 46, 15]",16.4,1919.0,1.6826975345611572,2,100
