,Student_id,Best_LP,Best_AS,LP_Time,Alg_time,Num_KP_Explored,Num_total_KP
0,0,"[12, 34, 24, 18, 59, 9, 53, 44, 20, 26, 4, 23, 37, 48, 41, 61, 56, 49, 0, 30]",37.6,9801.0,0.2264089584350586,1,36382
1,1,"[50, 9, 19, 61, 26, 24, 30, 21, 46, 55, 31, 0, 43, 62, 58, 51, 3, 39, 35, 12]",44.5,10645.0,0.16428256034851074,0,31228
2,2,"[40, 8, 16, 50, 38, 46, 0, 47, 51, 35, 29, 21, 42]",24.1,3886.0,3.0880963802337646,2132,37641
3,3,"[15, 63, 26, 24, 27, 3, 41, 39, 44, 53, 60, 56, 1, 11, 64, 8, 33, 20, 49, 57]",43.5,11981.0,0.3460829257965088,1,36902
4,4,"[3, 26, 18, 59, 44, 55, 8, 30, 0, 41, 34, 14, 60, 56, 50, 24, 45, 37]",34.6,5981.0,6.100237846374512,262,9731
5,5,"[28, 13, 64, 24, 36, 47, 59, 50, 18, 8, 53, 33, 3, 10, 68, 62, 55, 5, 20, 38]",25.3,11953.0,8.836321592330933,45,29340
6,6,"[40, 27, 19, 64, 9, 58, 50, 21, 34, 0, 61, 56, 3, 43, 25, 29, 47, 67, 12, 54]",47.1,8875.0,0.19743895530700684,1,35598
7,7,"[54, 9, 18, 65, 27, 25, 29, 47, 59, 50, 21, 34, 0, 62, 57, 3, 43, 40, 12, 68]",46.1,8937.0,1.4148175716400146,1,30744
8,8,"[56, 26, 20, 64, 9, 58, 49, 21, 53, 33, 1, 61, 67, 12, 39, 46, 28, 4, 24, 42]",43.1,8973.0,0.9841501712799072,1,19325
9,9,"[3, 27, 18, 63, 25, 23, 41, 52, 8, 32, 57, 48, 20, 45, 66, 60, 53, 0, 12, 38]",43.9,9610.0,0.26542234420776367,1,44899
10,10,"[50, 28, 31, 16, 73, 8, 69, 59, 26, 39, 6, 67, 0, 42, 65, 57, 45, 12, 78, 70]",26.2,22631.0,0.28641843795776367,1,54272
11,11,"[13, 7, 0, 46, 32, 15]",16.4,1919.0,1.6890513896942139,2,36073
