Student_id,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average
0,2.4,3.066666666666667,3.533333333333333,4.0,3.8666666666666667,4.0,3.9,3.033333333333333,1.0,3.311111111111111
1,2.3666666666666667,3.0,3.0,4.0,2.1666666666666665,4.0,3.2666666666666666,3.0,3.533333333333333,3.259259259259259
2,3.2,3.8,3.3333333333333335,3.8666666666666667,3.6666666666666665,4.0,1.5333333333333334,3.0,1.0,3.155555555555556
3,3.9,3.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,3.1
4,3.8666666666666667,3.8666666666666667,3.8666666666666667,4.0,3.2,4.0,3.3666666666666667,3.0,1.0,3.4629629629629632
5,2.7333333333333334,3.6,3.6,4.0,3.566666666666667,4.0,2.1666666666666665,3.1,1.0,3.196296296296296
6,3.0,3.966666666666667,3.0,1.0,4.0,4.0,4.0,3.0,1.0,3.1074074074074076
7,3.0,3.533333333333333,3.3,2.1,4.0,4.0,2.6666666666666665,3.0,1.0,3.066666666666667
8,3.0,3.0,3.0,4.0,3.6,4.0,3.4,3.0,1.0,3.2222222222222223
9,2.933333333333333,3.933333333333333,3.933333333333333,4.0,4.0,4.0,3.8333333333333335,3.5,1.0,3.5703703703703704
10,3.466666666666667,3.7333333333333334,3.433333333333333,4.0,4.0,4.0,3.7333333333333334,3.0,1.0,3.4851851851851854
11,2.433333333333333,3.6,3.0,2.8333333333333335,3.8333333333333335,4.0,2.2,3.0,1.0,2.988888888888889
