Student_id,Average_LM_Difficulty_Matching,Average_CTML_Principle,Average_media_matching,Average_time_interval_score,Average_coherence_principle,Average_segmenting_principle,Average_balance,Average_cohesiveness,Average_MDIP,Average_Rubric Average,Variance_LM_Difficulty_Matching,Variance_CTML_Principle,Variance_media_matching,Variance_time_interval_score,Variance_coherence_principle,Variance_segmenting_principle,Variance_balance,Variance_cohesiveness,Variance_MDIP,Variance_Rubric Average
0,2.966666666666667,3.433333333333333,3.566666666666667,3.933333333333333,3.933333333333333,4.0,4.0,3.0,1.0,3.4259259259259256,0.17126436781609194,0.25402298850574717,0.25402298850574717,0.06436781609195402,0.06436781609195402,0.0,0.0,0.0,0.0,0.002625230594579272
1,2.0,3.0,3.0,3.8333333333333335,2.1,4.0,3.6333333333333333,3.0,3.8333333333333335,3.2666666666666666,0.0,0.0,0.0,0.14367816091954017,0.0931034482758621,0.0,0.2402298850574712,0.0,0.14367816091954022,0.004767986377181756
2,3.1,3.966666666666667,3.8,3.966666666666667,3.933333333333333,4.0,4.0,3.0,1.0,3.5296296296296306,0.09310344827586206,0.03333333333333332,0.16551724137931031,0.03333333333333333,0.13333333333333325,0.0,0.0,0.0,0.0,0.007393216971761034
3,2.966666666666667,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.966666666666667,2.9925925925925925,0.033333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333332,0.0007946643961969642
4,4.0,4.0,4.0,4.0,3.966666666666667,4.0,4.0,3.0,1.0,3.662962962962964,0.0,0.0,0.0,0.0,0.03333333333333332,0.0,0.0,0.0,0.0,0.00041152263374485303
5,2.433333333333333,4.0,3.7,4.0,4.0,4.0,4.0,3.033333333333333,1.0,3.462962962962963,0.32298850574712645,0.0,0.21724137931034482,0.0,0.0,0.0,0.0,0.03333333333333332,0.0,0.005179509010926656
6,2.066666666666667,3.0,2.566666666666667,1.0,2.0,4.0,3.966666666666667,3.0,4.0,2.9555555555555557,0.06436781609195402,0.0,0.25402298850574717,0.0,0.0,0.0,0.03333333333333332,0.0,0.0,0.0030651340996168622
7,2.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,3.966666666666667,2.885185185185185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333332,0.0004115226337448564
8,3.3333333333333335,3.466666666666667,3.566666666666667,4.0,3.6,4.0,4.0,3.0,1.0,3.4407407407407407,0.22988505747126448,0.25747126436781614,0.25402298850574717,0.0,0.24827586206896554,0.0,0.0,0.0,0.0,0.007222931744004578
9,3.066666666666667,4.0,4.0,3.966666666666667,4.0,4.0,4.0,3.6666666666666665,1.0,3.633333333333334,0.06436781609195402,0.0,0.0,0.03333333333333332,0.0,0.0,0.0,0.22988505747126448,0.0,0.0035334184759471914
10,3.933333333333333,4.0,3.8666666666666667,4.0,4.0,4.0,4.0,3.0,1.0,3.6444444444444457,0.06436781609195402,0.0,0.11954022988505751,0.0,0.0,0.0,0.0,0.0,0.0,0.0020434227330778914
11,2.4,3.066666666666667,2.7666666666666666,1.4,2.1666666666666665,4.0,3.933333333333333,3.033333333333333,3.533333333333333,3.033333333333333,0.38620689655172413,0.06436781609195402,0.18505747126436778,1.0758620689655174,0.281609195402299,0.0,0.06436781609195402,0.03333333333333332,1.0850574712643677,0.018859088974031487
