Student_id,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average
0,3.0,3.3333333333333335,3.6666666666666665,4.0,3.8666666666666667,4.0,4.0,3.033333333333333,1.0,3.433333333333333
1,2.033333333333333,3.0,3.0,3.9,2.2333333333333334,4.0,3.6,3.0,3.7333333333333334,3.2777777777777777
2,3.2,3.933333333333333,3.6333333333333333,3.8333333333333335,3.933333333333333,4.0,3.966666666666667,3.0,1.1,3.5111111111111115
3,3.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,3.0
4,4.0,4.0,3.966666666666667,4.0,3.966666666666667,4.0,4.0,3.0,1.0,3.659259259259259
5,2.5,3.966666666666667,3.9,4.0,4.0,4.0,4.0,3.1,1.0,3.4962962962962965
6,2.066666666666667,3.0,2.5,1.0,2.0,4.0,4.0,3.0,3.966666666666667,2.948148148148148
7,2.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,2.888888888888889
8,3.1333333333333333,3.7333333333333334,3.8,4.0,3.5,4.0,4.0,3.0,1.0,3.4629629629629632
9,3.2,4.0,3.966666666666667,4.0,4.0,4.0,4.0,3.533333333333333,1.0,3.6333333333333333
10,3.966666666666667,4.0,3.7666666666666666,4.0,4.0,4.0,4.0,3.0,1.0,3.6370370370370373
11,2.466666666666667,3.1,2.8,1.5666666666666667,2.3,4.0,4.0,3.0,3.3666666666666667,3.066666666666667
