Student_id,Unique_Solution_ID,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average,Unique_PLP_Count,Total_Iterations_Appears,Times_Top_Scoring,Iterations_Appeared_In
0,0,2,3,4,4,4,4,4,3,1,3.33,44,19,156,"[1, 6, 7, 8, 10, 12, 16, 17, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30]"
0,5,3,3,3,4,4,4,4,3,1,3.33,27,12,81,"[4, 5, 6, 9, 12, 13, 15, 19, 23, 27, 29, 30]"
0,6,3,3,4,4,3,4,4,3,1,3.33,16,11,57,"[1, 7, 8, 10, 16, 17, 21, 22, 25, 26, 29]"
0,1,3,4,3,4,4,4,4,3,1,3.44,11,8,66,"[2, 3, 4, 11, 12, 19, 20, 27]"
0,3,3,3,4,4,3,4,4,4,1,3.44,1,1,10,[7]
0,2,3,3,4,4,4,4,4,3,1,3.44,22,16,138,"[5, 6, 7, 8, 13, 14, 18, 21, 22, 23, 24, 25, 26, 28, 29, 30]"
0,7,4,3,3,4,4,4,4,3,1,3.44,2,2,11,"[15, 24]"
0,8,3,4,4,4,3,4,4,3,1,3.44,2,2,4,"[8, 18]"
0,4,3,4,4,4,4,4,4,3,1,3.56,1,1,3,[8]
0,9,4,3,4,4,4,4,4,3,1,3.56,1,1,4,[24]
1,1,2,3,3,3,2,4,4,3,4,3.22,36,9,57,"[1, 2, 10, 11, 13, 19, 20, 21, 25]"
1,2,2,3,3,4,3,4,3,3,3,3.22,1,1,2,[3]
1,3,2,3,3,3,3,4,4,3,3,3.22,4,1,6,[4]
1,4,2,3,3,4,2,4,3,3,4,3.22,22,13,50,"[1, 5, 6, 7, 12, 14, 15, 21, 22, 23, 24, 28, 29]"
1,6,2,3,3,4,2,4,4,3,3,3.22,18,9,26,"[8, 9, 15, 16, 19, 20, 21, 26, 27]"
1,9,3,3,3,3,3,4,3,3,3,3.22,2,2,3,"[17, 18]"
1,5,2,3,3,4,3,4,4,3,3,3.33,1,1,5,[8]
1,0,2,3,3,4,2,4,4,3,4,3.33,17,10,41,"[1, 10, 11, 13, 19, 20, 21, 23, 25, 30]"
1,7,2,3,3,4,3,4,3,3,4,3.33,3,2,8,"[14, 18]"
1,8,2,3,3,4,3,4,4,3,4,3.44,3,1,10,[15]
2,5,2,3,2,1,2,4,3,3,4,2.78,13,1,55,[16]
2,6,3,3,3,4,4,4,4,3,1,3.33,50,26,152,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 30]"
2,3,4,4,4,2,4,4,4,3,1,3.44,1,1,1,[9]
2,2,3,4,3,4,4,4,4,3,1,3.44,18,18,82,"[3, 4, 7, 9, 10, 11, 14, 15, 18, 20, 21, 22, 23, 24, 26, 27, 29, 30]"
2,4,4,4,3,4,4,4,4,3,1,3.56,5,5,25,"[10, 11, 20, 22, 28]"
2,0,3,4,4,4,4,4,4,3,1,3.56,20,18,146,"[1, 2, 3, 4, 5, 6, 8, 12, 13, 15, 17, 19, 20, 21, 23, 26, 29, 30]"
2,1,4,4,4,4,4,4,4,3,1,3.67,1,2,8,"[4, 14]"
3,0,3,3,3,1,2,4,3,3,4,3.00,154,30,390,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
4,1,4,4,4,4,3,4,4,3,1,3.56,48,26,260,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
4,2,4,4,3,4,4,4,4,3,1,3.56,8,4,24,"[1, 12, 16, 18]"
4,0,4,4,4,4,4,4,4,3,1,3.67,49,28,283,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
5,2,1,4,4,4,4,4,4,3,1,3.33,4,2,16,"[3, 23]"
5,1,2,4,4,4,4,4,4,3,1,3.44,30,23,157,"[2, 4, 6, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]"
5,7,4,3,3,4,4,4,4,3,1,3.44,1,1,6,[27]
5,4,3,4,3,4,4,4,4,3,1,3.44,6,7,29,"[1, 5, 6, 7, 19, 20, 27]"
5,3,2,4,4,4,4,4,4,4,1,3.56,2,2,6,"[5, 10]"
5,0,3,4,4,4,4,4,4,3,1,3.56,13,11,116,"[1, 4, 8, 9, 14, 19, 20, 21, 24, 26, 28]"
5,6,3,4,3,4,4,4,4,4,1,3.56,1,1,9,[10]
5,5,3,4,4,4,4,4,4,4,1,3.67,1,1,1,[7]
6,0,2,3,2,1,2,4,4,3,4,2.89,151,23,472,"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18, 20, 21, 22, 23, 24, 27, 28, 30]"
6,3,2,3,3,1,2,4,4,3,3,2.89,28,7,85,"[7, 12, 13, 15, 19, 26, 28]"
6,1,2,3,3,1,2,4,4,3,4,3.00,56,14,176,"[2, 7, 8, 11, 12, 13, 14, 15, 19, 20, 26, 27, 29, 30]"
6,2,3,3,2,1,2,4,4,3,4,3.00,6,2,11,"[3, 25]"
7,0,2,3,3,1,2,4,3,3,4,2.89,137,30,392,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
8,3,3,3,3,4,4,4,4,3,1,3.33,70,26,275,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25, 26, 27, 28, 29, 30]"
8,0,4,3,3,4,4,4,4,3,1,3.44,3,3,30,"[1, 14, 30]"
8,1,3,4,4,4,3,4,4,3,1,3.44,19,20,132,"[2, 3, 6, 7, 9, 10, 11, 12, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 29]"
8,5,3,3,4,4,4,4,4,3,1,3.44,5,6,38,"[5, 7, 9, 13, 19, 26]"
8,2,3,4,4,4,4,4,4,3,1,3.56,3,7,62,"[3, 4, 5, 7, 20, 22, 26]"
8,4,4,4,4,4,3,4,4,3,1,3.56,1,1,6,[11]
9,0,3,4,4,4,4,4,4,3,1,3.56,39,27,581,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 29, 30]"
9,3,4,4,3,4,4,4,4,3,1,3.56,1,1,8,[20]
9,1,4,4,4,4,4,4,4,3,1,3.67,3,5,55,"[2, 6, 18, 23, 26]"
9,2,3,4,4,4,4,4,4,4,1,3.67,15,16,165,"[7, 8, 9, 10, 12, 14, 15, 16, 19, 22, 24, 25, 27, 28, 29, 30]"
10,1,4,4,3,4,4,4,4,3,1,3.56,19,18,306,"[1, 2, 3, 4, 7, 8, 10, 11, 12, 14, 15, 16, 18, 19, 21, 23, 26, 28]"
10,2,3,4,4,4,4,4,4,3,1,3.56,30,20,343,"[5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 27, 29, 30]"
10,0,4,4,4,4,4,4,4,3,1,3.67,29,22,363,"[1, 3, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 29]"
11,1,2,3,2,1,2,4,4,3,4,2.89,33,11,71,"[2, 3, 5, 11, 12, 14, 17, 18, 22, 27, 29]"
11,0,2,3,3,1,2,4,4,3,4,3.00,70,17,181,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 16, 17, 20, 21, 24, 27]"
