Student_id,Unique_Solution_ID,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average,Unique_PLP_Count,Total_Iterations_Appears,Times_Top_Scoring,Iterations_Appeared_In
0,0,2,3,3,4,4,4,4,3,1,3.22,1,1,13,[1]
1,0,2,3,3,4,2,4,3,3,4,3.22,4,1,23,[1]
2,0,2,3,3,4,2,4,4,3,1,3.00,1,1,5,[1]
3,0,3,3,3,1,4,4,4,3,1,3.00,2,1,27,[1]
4,0,3,4,4,4,3,4,4,3,1,3.44,2,1,45,[1]
5,0,2,3,3,4,3,4,4,3,1,3.11,1,1,2,[1]
6,0,3,3,3,1,4,4,4,3,1,3.00,1,1,45,[1]
7,0,3,4,4,4,4,4,1,3,1,3.22,1,1,3,[1]
8,0,3,4,4,4,3,4,2,3,1,3.22,1,1,2,[1]
9,0,2,4,4,4,4,4,4,3,1,3.44,1,1,45,[1]
10,0,4,3,3,4,4,4,4,3,1,3.44,1,1,31,[1]
11,0,3,3,3,4,3,4,1,4,1,3.00,1,1,10,[1]
