Student_id,Unique_Solution_ID,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average,Unique_PLP_Count,Total_Iterations_Appears,Times_Top_Scoring,Iterations_Appeared_In
0,2,2,3,3,4,4,4,4,3,1,3.22,32,19,206,"[1, 3, 4, 5, 6, 9, 12, 13, 14, 17, 19, 21, 22, 23, 24, 25, 28, 29, 30]"
0,5,3,3,3,4,3,4,4,3,1,3.22,27,18,138,"[1, 2, 3, 6, 9, 10, 11, 12, 15, 16, 17, 19, 20, 21, 22, 25, 28, 30]"
0,1,3,3,4,4,3,4,4,3,1,3.33,2,2,21,"[2, 11]"
0,0,3,3,3,4,4,4,4,3,1,3.33,8,7,92,"[1, 5, 8, 13, 14, 17, 20]"
0,3,2,3,4,4,4,4,4,3,1,3.33,17,11,182,"[6, 7, 8, 9, 10, 12, 15, 16, 18, 29, 30]"
0,4,1,3,4,4,4,4,4,4,1,3.33,1,1,7,[18]
0,6,3,3,4,4,4,4,3,3,1,3.33,3,3,63,"[22, 26, 27]"
0,7,3,4,3,4,3,4,4,3,1,3.33,2,1,22,[23]
0,8,2,4,3,4,4,4,4,3,1,3.33,1,1,12,[24]
1,5,2,3,3,4,2,4,3,3,3,3.11,179,27,385,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
1,0,2,3,3,4,2,4,3,3,4,3.22,47,16,124,"[1, 2, 5, 7, 12, 15, 17, 18, 19, 20, 22, 23, 25, 26, 29, 30]"
1,6,2,3,3,4,2,4,4,3,3,3.22,21,9,65,"[8, 11, 13, 14, 16, 17, 20, 24, 28]"
1,1,3,3,3,4,2,4,3,3,3,3.22,68,15,184,"[3, 4, 5, 6, 7, 8, 9, 12, 16, 18, 19, 25, 27, 29, 30]"
1,3,3,3,3,4,2,4,4,3,3,3.33,6,4,12,"[6, 7, 8, 16]"
1,2,3,3,3,4,2,4,3,3,4,3.33,8,4,41,"[5, 6, 18, 29]"
1,4,2,3,3,4,3,4,3,3,4,3.33,11,5,37,"[9, 16, 19, 21, 25]"
2,5,2,4,4,4,3,4,1,3,1,3.00,2,2,14,"[8, 18]"
2,12,2,3,3,4,2,4,4,3,1,3.00,7,21,241,"[1, 2, 4, 6, 7, 9, 11, 13, 14, 15, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 30]"
2,6,4,4,3,4,3,4,1,3,1,3.11,4,4,50,"[3, 10, 21, 29]"
2,1,2,4,3,4,3,4,3,3,1,3.11,4,4,41,"[2, 4, 5, 12]"
2,7,3,4,3,4,4,4,1,3,1,3.11,14,15,147,"[1, 3, 6, 7, 9, 10, 11, 12, 14, 16, 18, 19, 23, 25, 30]"
2,13,3,3,3,4,3,4,3,3,1,3.11,4,3,13,"[1, 20, 27]"
2,9,2,3,3,4,4,4,3,3,1,3.11,8,9,67,"[1, 7, 9, 13, 16, 20, 21, 22, 28]"
2,3,3,4,3,4,3,4,2,3,1,3.11,1,1,7,[4]
2,11,3,4,4,4,3,4,1,3,1,3.11,7,8,108,"[2, 12, 15, 16, 17, 19, 24, 28]"
2,4,3,4,4,4,4,4,1,3,1,3.22,5,4,99,"[5, 9, 15, 22]"
2,0,3,3,3,4,4,4,3,3,1,3.22,2,3,29,"[1, 9, 16]"
2,2,4,4,3,4,4,4,1,3,1,3.22,5,4,48,"[3, 6, 7, 17]"
2,10,4,4,4,3,4,4,1,3,1,3.22,2,5,42,"[6, 15, 21, 24, 28]"
2,8,4,4,4,4,3,4,1,3,1,3.22,1,1,9,[12]
3,0,3,3,3,1,4,4,4,3,1,3.00,23,15,241,"[1, 2, 6, 7, 8, 11, 12, 13, 14, 15, 18, 21, 24, 28, 29]"
3,1,4,3,3,1,4,4,4,3,1,3.11,43,27,385,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
4,6,4,3,3,4,3,4,4,3,1,3.33,3,8,121,"[1, 7, 10, 11, 19, 23, 24, 29]"
4,0,4,4,4,4,3,4,3,3,1,3.44,15,20,345,"[1, 2, 3, 5, 6, 7, 8, 11, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 25, 30]"
4,3,4,3,3,4,4,4,4,3,1,3.44,1,3,50,"[9, 10, 28]"
4,1,3,4,4,4,3,4,4,3,1,3.44,6,15,167,"[3, 4, 5, 12, 13, 14, 15, 16, 17, 19, 20, 21, 23, 24, 27]"
4,5,4,4,4,4,4,4,2,3,1,3.44,3,2,27,"[5, 26]"
4,2,4,4,4,4,4,4,3,3,1,3.56,1,2,21,"[5, 17]"
4,4,4,4,4,4,3,4,4,3,1,3.56,1,4,47,"[15, 19, 21, 27]"
5,0,2,3,3,4,3,4,4,3,1,3.11,9,28,223,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]"
5,2,3,3,3,4,3,4,3,3,1,3.11,3,4,24,"[11, 13, 27, 29]"
5,1,3,4,4,4,4,4,1,3,1,3.22,13,17,173,"[6, 8, 10, 12, 14, 17, 18, 19, 20, 21, 23, 25, 26, 27, 28, 29, 30]"
5,3,3,4,4,4,3,4,1,4,1,3.22,1,1,5,[16]
5,4,3,4,4,4,4,4,1,4,1,3.33,2,2,20,"[18, 27]"
5,5,4,4,4,4,4,4,1,3,1,3.33,3,3,27,"[19, 20, 28]"
6,1,3,3,3,1,4,4,4,3,1,3.00,12,27,618,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
6,0,3,4,3,1,4,4,4,3,1,3.11,21,29,578,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]"
7,0,2,3,3,1,4,4,4,3,1,2.89,67,28,430,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
7,1,3,4,3,1,4,4,3,3,1,3.00,14,10,64,"[2, 9, 10, 11, 12, 14, 21, 22, 23, 28]"
7,6,3,3,3,2,4,4,3,3,1,3.00,4,4,10,"[4, 6, 7, 8]"
7,8,3,3,3,1,4,4,4,3,1,3.00,46,16,245,"[2, 3, 8, 9, 10, 13, 14, 17, 18, 20, 21, 22, 23, 25, 28, 29]"
7,10,4,4,3,2,4,4,1,3,1,3.00,4,2,17,"[18, 24]"
7,9,3,4,4,3,4,4,1,3,1,3.11,4,4,25,"[15, 16, 21, 29]"
7,7,3,4,3,3,4,4,2,3,1,3.11,1,1,9,[9]
7,3,3,4,3,2,4,4,3,3,1,3.11,3,2,15,"[4, 21]"
7,5,3,4,4,4,4,4,1,3,1,3.22,12,6,59,"[3, 7, 15, 21, 26, 30]"
7,4,4,4,3,4,4,4,1,3,1,3.22,6,3,26,"[3, 6, 24]"
7,2,4,4,4,4,4,4,1,3,1,3.33,3,2,24,"[3, 24]"
8,0,3,3,3,4,4,4,3,3,1,3.22,4,22,213,"[1, 2, 3, 4, 6, 7, 8, 9, 11, 13, 14, 16, 17, 19, 21, 22, 23, 24, 27, 28, 29, 30]"
8,1,3,3,3,4,3,4,4,3,1,3.22,4,18,151,"[5, 7, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 24, 25, 26, 29, 30]"
9,5,3,4,4,4,4,4,3,3,1,3.44,17,18,201,"[1, 2, 6, 7, 8, 9, 11, 12, 13, 16, 17, 19, 21, 25, 26, 27, 28, 30]"
9,4,3,3,3,4,4,4,4,4,1,3.44,4,4,44,"[10, 15, 22, 27]"
9,0,3,4,4,4,4,4,4,3,1,3.56,16,15,253,"[1, 2, 3, 6, 9, 11, 12, 13, 14, 18, 19, 23, 25, 28, 29]"
9,1,3,4,4,4,4,4,3,4,1,3.56,4,4,77,"[4, 5, 8, 16]"
9,6,3,3,4,4,4,4,4,4,1,3.56,1,1,24,[22]
9,3,2,4,4,4,4,4,4,4,1,3.56,4,7,53,"[7, 8, 10, 17, 24, 25, 30]"
9,7,3,4,3,4,4,4,4,4,1,3.56,1,1,11,[24]
9,2,3,4,4,4,4,4,4,4,1,3.67,4,8,138,"[5, 6, 7, 17, 20, 25, 28, 30]"
10,1,4,3,3,4,4,4,4,3,1,3.44,17,17,499,"[2, 3, 4, 6, 7, 11, 12, 14, 15, 16, 20, 21, 22, 24, 27, 28, 29]"
10,3,3,4,3,4,4,4,4,3,1,3.44,20,16,271,"[1, 2, 5, 6, 8, 9, 10, 12, 13, 17, 18, 19, 22, 23, 25, 30]"
10,5,4,4,3,4,4,4,3,3,1,3.44,15,14,219,"[1, 3, 6, 7, 8, 10, 11, 12, 14, 16, 21, 22, 27, 29]"
10,4,4,4,4,4,4,4,2,3,1,3.44,8,13,223,"[2, 3, 6, 7, 8, 11, 16, 21, 22, 23, 24, 26, 27]"
10,6,3,4,4,4,4,4,3,3,1,3.44,19,15,204,"[2, 5, 6, 9, 17, 18, 19, 21, 22, 23, 24, 25, 26, 28, 30]"
10,7,3,3,4,4,4,4,4,3,1,3.44,1,1,16,[28]
10,2,3,4,4,4,4,4,4,3,1,3.56,11,8,134,"[3, 5, 21, 22, 23, 24, 26, 30]"
10,0,4,4,3,4,4,4,4,3,1,3.56,5,4,57,"[1, 6, 10, 22]"
11,15,2,3,3,1,3,4,4,3,1,2.78,30,16,228,"[2, 5, 6, 7, 8, 9, 12, 14, 19, 20, 21, 22, 26, 27, 28, 30]"
11,1,3,4,3,1,4,4,2,3,1,2.89,8,7,79,"[2, 5, 6, 9, 19, 22, 28]"
11,7,2,3,3,2,3,4,4,3,1,2.89,3,2,26,"[12, 20]"
11,4,2,4,3,1,3,4,4,3,1,2.89,2,2,20,"[7, 14]"
11,9,2,3,3,3,4,4,2,3,1,2.89,4,4,38,"[15, 21, 24, 30]"
11,16,2,4,3,2,4,4,2,3,1,2.89,2,2,14,"[27, 28]"
11,6,2,2,3,4,4,4,3,3,1,3.00,3,3,22,"[11, 18, 25]"
11,3,2,4,3,4,4,4,1,3,1,3.00,12,7,78,"[3, 4, 9, 10, 24, 29, 30]"
11,14,1,4,3,4,4,4,2,3,1,3.00,3,3,18,"[8, 16, 23]"
11,12,3,3,3,4,4,4,1,3,1,3.00,2,2,9,"[18, 21]"
11,11,3,4,3,1,4,4,3,3,1,3.00,1,1,14,[17]
11,8,2,3,3,4,4,4,2,3,1,3.00,5,3,24,"[13, 16, 21]"
11,0,1,3,3,4,4,4,3,3,1,3.00,2,1,13,[1]
11,5,2,4,3,3,4,4,3,3,1,3.11,1,1,5,[8]
11,10,2,3,3,4,4,4,3,3,1,3.11,1,1,11,[16]
11,2,3,4,3,4,4,4,1,3,1,3.11,6,6,42,"[3, 9, 21, 27, 29, 30]"
11,13,4,4,3,4,4,4,1,3,1,3.22,2,2,24,"[21, 30]"
