Student_id,Unique_Solution_ID,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average,Unique_PLP_Count,Total_Iterations_Appears,Times_Top_Scoring,Iterations_Appeared_In
0,12,2,3,4,4,3,4,4,3,1,3.22,18,10,23,"[2, 4, 6, 8, 10, 15, 18, 19, 22, 26]"
0,14,3,3,3,4,2,4,4,3,2,3.22,6,2,11,"[21, 23]"
0,6,3,3,3,4,4,4,4,3,1,3.33,8,3,21,"[9, 12, 28]"
0,7,4,3,3,4,3,4,4,3,1,3.33,2,2,8,"[11, 13]"
0,10,3,3,4,4,3,4,4,3,1,3.33,20,10,38,"[6, 8, 10, 13, 14, 19, 24, 27, 29, 30]"
0,11,2,3,4,4,3,4,4,3,2,3.33,6,5,9,"[6, 15, 16, 20, 24]"
0,5,3,3,3,4,3,4,4,3,2,3.33,4,2,6,"[7, 28]"
0,15,2,3,4,4,4,4,4,3,1,3.33,26,12,37,"[3, 4, 10, 14, 15, 19, 20, 21, 22, 25, 27, 30]"
0,16,2,3,3,4,4,4,4,3,2,3.33,9,4,13,"[1, 22, 26, 28]"
0,4,2,3,4,4,4,4,4,3,2,3.44,3,2,8,"[6, 24]"
0,2,3,4,4,4,3,4,4,3,1,3.44,3,3,17,"[4, 17, 21]"
0,1,3,3,4,4,4,4,4,3,1,3.44,8,7,31,"[2, 3, 8, 15, 27, 29, 30]"
0,0,4,4,3,4,3,4,4,3,1,3.44,2,2,16,"[1, 10]"
0,8,3,4,3,4,4,4,4,3,1,3.44,3,2,6,"[12, 22]"
0,13,2,4,4,4,4,4,4,3,1,3.44,2,1,4,[20]
0,3,3,4,4,3,4,4,4,3,1,3.44,1,1,9,[5]
0,9,4,3,4,4,4,4,4,3,1,3.56,2,2,3,"[13, 15]"
1,2,2,3,3,4,2,4,3,3,3,3.11,93,25,118,"[1, 3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 30]"
1,5,2,3,3,3,2,4,4,3,3,3.11,24,11,25,"[1, 2, 3, 6, 12, 14, 16, 19, 20, 24, 25]"
1,6,2,3,3,3,2,4,3,3,4,3.11,33,17,44,"[2, 3, 5, 6, 7, 11, 13, 14, 17, 19, 21, 22, 23, 25, 26, 27, 29]"
1,1,2,3,3,4,2,4,3,3,4,3.22,37,22,51,"[2, 3, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 21, 22, 24, 26, 27, 29, 30]"
1,4,2,3,3,3,3,4,4,3,3,3.22,8,2,14,"[12, 24]"
1,3,2,3,3,4,2,4,4,3,3,3.22,10,4,13,"[6, 16, 24, 25]"
1,0,2,3,3,4,2,4,4,3,4,3.33,4,2,7,"[1, 25]"
1,7,2,3,3,4,3,4,4,3,3,3.33,2,1,3,[24]
2,4,4,3,3,4,4,4,4,3,1,3.44,10,5,19,"[6, 10, 15, 16, 20]"
2,0,4,4,4,3,4,4,4,3,1,3.56,2,3,22,"[1, 15, 16]"
2,3,4,4,3,4,4,4,4,3,1,3.56,5,4,16,"[7, 18, 20, 21]"
2,1,3,4,4,4,4,4,4,3,1,3.56,37,22,250,"[1, 2, 3, 4, 5, 6, 8, 9, 12, 13, 14, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 30]"
2,5,4,4,4,4,3,4,4,3,1,3.56,6,6,30,"[9, 11, 15, 21, 27, 29]"
2,2,4,4,4,4,4,4,4,3,1,3.67,8,8,52,"[6, 13, 15, 17, 20, 21, 24, 27]"
3,1,3,3,3,1,2,4,3,3,3,2.89,455,29,547,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]"
3,2,2,3,3,1,2,4,3,3,4,2.89,69,25,76,"[1, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30]"
3,3,3,3,3,1,2,4,4,3,2,2.89,14,5,24,"[3, 14, 17, 18, 26]"
3,0,3,3,3,1,2,4,3,3,4,3.00,88,23,127,"[1, 2, 3, 4, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 29, 30]"
