Unique_Solution_ID,LM_Difficulty_Matching,CTML_Principle,media_matching,time_interval_score,coherence_principle,segmenting_principle,balance,cohesiveness,MDIP,Rubric Average,Unique_PLP_Count,Total_Iterations_Appears,Times_Top_Scoring,Iterations_Appeared_In
0,2,3,3,1,2,4,4,3,4,3.0,70,17,181,"[1, 2, 3, 4, 6, 7, 9, 11, 12, 14, 15, 16, 17, 20, 21, 24, 27]"
1,2,3,2,1,2,4,4,3,4,2.888888888888889,33,11,71,"[2, 3, 5, 11, 12, 14, 17, 18, 22, 27, 29]"
2,3,3,3,1,2,4,4,3,4,3.111111111111111,8,4,30,"[8, 9, 17, 20]"
3,3,4,3,4,3,4,4,3,1,3.333333333333333,2,2,8,"[10, 26]"
4,4,3,2,3,3,4,4,3,1,3.111111111111111,1,1,4,[13]
5,3,3,2,1,2,4,4,3,4,3.0,15,6,46,"[8, 17, 18, 20, 22, 23]"
6,3,3,3,1,2,4,4,3,3,3.0,10,2,17,"[19, 20]"
7,4,3,3,4,4,4,4,3,1,3.4444444444444446,1,1,6,[25]
8,3,3,3,4,4,4,4,3,1,3.333333333333333,3,3,11,"[25, 26, 28]"
9,1,4,3,4,4,4,4,3,1,3.2222222222222223,1,1,14,[30]
